# Eb_MeV	TS_src	TS_hardening	BPL_loglike	Index1	Index2
10000.0	24534.870531699853	22.213377863168716	-718955.5086374071	-2.425644364716711	-3.1576269516620026
10811.807510766077	24534.11451497837	21.140709774568677	-718956.0449714514	-2.425802619355138	-3.2097087338506487
11689.518164985777	24533.73420668533	19.700807457324117	-718956.76492261	-2.427365945005613	-3.2271162099858386
12638.482029342971	24532.86357723782	18.191583212465048	-718957.5195347324	-2.428373359318054	-3.2501310936071075
13664.483492953244	24532.561560329283	17.00821183808148	-718958.1112204196	-2.42906491596214	-3.2904241746746745
14773.776525985097	24531.674893033225	15.458741285838187	-718958.8859556958	-2.4301043975330594	-3.2755258283943327
15973.122800602556	24530.55574332131	14.094590139808133	-718959.5680312688	-2.430351484087966	-3.323055034167402
17269.83290659436	24530.38940178696	12.949047085363418	-718960.140802796	-2.4315685772380564	-3.340219282266435
18671.810912919205	24528.94375808956	11.42191717796959	-718960.9043677497	-2.4320747872921924	-3.224383872242138
20187.60254679039	24528.773499707226	10.522023357218131	-718961.3543146601	-2.432979673902711	-3.3467772267767892
21826.44728397487	24528.49111850257	9.960522349691018	-718961.6350651638	-2.4332274908463587	-3.395004722012523
23598.33466782194	24528.092531974427	9.203500327421352	-718962.013576175	-2.433321910444566	-3.454300386007703
25514.065200312874	24527.809871582314	8.595298363827169	-718962.3176771568	-2.433730577110338	-3.496338917675001
27585.316176291813	24527.670616022777	8.132410872261971	-718962.5491209025	-2.434088903363466	-3.554185040811167
29824.71286216888	227.4863021238707	-22749.924942157	-730341.5777974172	3.308032804483913	-4.877888411978517
32245.90545296398	24527.189798397478	7.0012869702186435	-718963.1146828536	-2.434856887305339	-3.6351724158713816
34863.65227678088	24526.291410441278	6.511748478282243	-718963.3594520995	-2.4344218717974146	-3.6528573547187015
37693.909753883636	24465.638203311246	-15.217602204531431	-718974.224127441	-2.3936935010936846	-3.954855401497629
40753.92965871778	102.5723431748338	-22870.083787215408	-730401.6572199464	4.95383210177555	-3.5050322833396224
44062.36427773573	24220.751810099464	-175.89879689994268	-719054.5647247887	-2.3142895789873696	-4.988757527849542
47639.380104013406	24039.5625763	-313.7049303497188	-719123.4677915135	-2.2756785629265486	-4.9999295183735075
51506.78076168122	23821.640926115913	-486.74700768035837	-719209.9888301789	-2.237710546679418	-4.999999853146958
55688.13990945267	23569.057416397613	-694.5989244119264	-719313.9147885446	-2.2004134716745467	-4.999946367902269
60208.94493336126	23282.07055099355	-937.189245351823	-719435.2099490146	-2.163783155703274	-4.999995636840865
65096.75230458164	22965.337293809745	-1209.7597955979872	-719571.4952241377	-2.127769157979543	-4.999999400841139
70381.35554931547	54.75947968615219	-22917.86821476114	-730425.5494337193	4.042641322342034	-4.999893300948171
76094.96685459884	22241.07209985773	-1847.382163558621	-719890.306408118	-2.0576011156243057	-5.0
82272.41341700473	29.503998537547886	-22943.114103944972	-730438.1723783112	4.940247648123721	-4.999998250778286
88951.34973108236	21412.240832711803	-2590.985273879487	-720262.1079632784	-1.9895083794017232	-5.0
96172.48711152964	20957.854498000117	-3003.342337383656	-720468.2864950305	-1.9560846246672465	-4.999999067066181
103979.841848149	20486.579167855904	-3433.9718340823893	-720683.6012433799	-1.9232758479358032	-4.9999998551700156
112421.00350620862	19979.614592451835	-3946.6140983528458	-720939.9223755151	-1.8908243911644718	-4.999999140772141
121547.4250076286	19478.013520320645	-4365.514185182517	-721149.3724189299	-1.8590426408323655	-5.0
131414.73626117554	18951.53662893595	-4855.532826261828	-721394.3817394696	-1.8277255080846904	-5.0
142083.08325339237	97.39000910590403	-22875.422193914186	-730404.3264232958	0.7028636672236406	-4.999537907367487
153617.49466718297	-55.273625559406355	-23027.895503506297	-730480.5630780918	2.49090863078814	-4.916499584396006
166088.27826277167	-68.04231017502025	-23040.63765654876	-730486.9341546131	4.995044313312679	-4.998923208266461
179571.4494371641	16360.267599314917	-8315.937422595685	-723124.5840376365	-1.7018879911809046	-4.9999997526138005
194149.19457438815	-103.35020709014498	-23075.951496961527	-730504.5910748194	4.959720164586873	-4.9999992695345155
209910.37201085544	15472.47010324616	-8136.842217792524	-723035.036435235	-1.6466146789795797	-4.99999989346125
226951.05366946684	14851.146959919715	-8729.358732488705	-723331.294692583	-1.617533238681311	-4.9999982797799785
245375.11066398167	14219.60378921777	-9333.637469034642	-723633.434060856	-1.5889406746401376	-5.0
265294.8464431895	13565.478992262622	-10314.970943489578	-724124.1007980835	-1.559419205282195	-5.0
286831.6813342009	12750.835481669288	-11344.267395607196	-724638.7490241423	-1.5302982776551883	-4.902778114683856
310116.8926574775	-209.28829016909003	-23181.91209351155	-730557.5713730945	4.964702408957653	-4.30327985491167
335292.4149249553	11651.59623056883	-11798.253054473782	-724865.7418535756	-1.4758637670266648	-5.0
362511.70499885356	10997.125094437273	-12428.313667762559	-725180.77216022	-1.4480954864474826	-4.999999594903228
391940.6774847221	10338.666768597206	-13063.67390170996	-725498.4522771937	-1.4204070159331361	-4.9999971288648615
423758.71606040635	-197.20446587051265	-23169.85991092166	-730551.5452817995	4.999998908322263	-5.0
458159.7669054491	-224.36838004156016	-23196.98416792974	-730565.1074103035	4.999999880112291	-4.999999019284489
495353.52089591697	-249.97917169542052	-23614.81499507907	-730774.0228238782	4.99999861770249	-4.999999174779637
535566.6917706897	-244.84631534060463	-23217.44251447916	-730575.3365835783	5.0	-5.0
579044.3980602483	-280.0611523739062	-774655.2554540657	-1106294.2430533716	5.0	-5.0
626051.6572014828	-732.4163356001955	-25487.273651142605	-731710.25215191	0.767749229221991	-2.195358772887372
676875.0009458541	-300.9309343963396	-23273.528483604314	-730603.3795681408	5.0	-4.9999710190022775
731824.2219076181	-339.30539129674435	-24906.915856960695	-731420.073254819	4.905430728600601	-4.988888164438762
791234.2618981326	-378.9906134507619	-23351.57617975911	-730642.4034162182	5.0	-5.0
855467.2535565684	-359.110134053044	-23331.707788560074	-730632.4692206187	5.0	-4.999999930688418
924914.7277217335	-2606.094549502479	-34138.06252149283	-736035.6465870851	-1.1462456565580963	3.1757356384504583
1000000.0	-444.9754374572076	-23417.57061309833	-730675.4006328878	4.999998215239582	-4.999999570321301
